,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,381.9762466215008,4.0,2.0334125613836322,1.0
HBGI,0.03325593619842212,1.0,0.06245263207744652,1.0
BGRI,382.00950255769925,,2.0958651934610786,
minutes_of_zero_temp_basal,,,185.0,2.0
minutes_of_zero_iob,,,0.0,
