,pump_bgs,bg,carb,insulin,iob,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual,temp_basal,relative_temp_basal_insulin
205,110.0,1.0,0.0,0.0,0.41959615678422846,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
210,110.0,1.0,0.0,0.0,0.3953671524516019,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
215,110.0,1.0,0.0,0.0,0.3724005482174303,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
220,110.0,1.0,0.0,0.0,0.3506447622174938,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
225,110.0,1.0,0.0,0.0,0.33004868839716306,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
230,110.0,1.0,0.0,0.0,0.31056193136895727,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
235,110.0,1.0,0.0,0.0,0.2921350018203387,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
240,110.0,1.0,0.0,0.0,0.2747194772125211,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
245,110.0,1.0,0.0,0.0,0.25826813200860865,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
250,110.0,1.0,0.0,0.0,0.24273504121682868,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
255,110.0,1.0,0.0,0.0,0.22807566062719378,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
260,110.0,1.0,0.0,0.0,0.2142468867533254,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
265,110.0,1.0,0.0,0.0,0.20120709916144736,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
270,110.0,1.0,0.0,0.0,0.1889161875721863,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
275,110.0,1.0,0.0,0.0,0.17733556585455398,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
280,110.0,1.0,0.0,0.0,0.166428174792433,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
285,110.0,1.0,0.0,0.0,0.1561584752893874,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
290,110.0,1.0,0.0,0.0,0.14649243348528276,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
295,110.0,1.0,0.0,0.0,0.13739749908585946,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
300,110.0,1.0,0.0,0.0,0.12884257805208732,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
305,110.0,1.0,0.0,0.0,0.12079800065807428,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
310,110.0,1.0,0.0,0.0,0.11323548580288281,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
315,110.0,1.0,0.0,0.0,0.10612810235138521,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
320,110.0,1.0,0.0,0.0,0.09945022818093516,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
325,110.0,1.0,0.0,0.0,0.09317750752296372,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
330,110.0,1.0,0.0,0.0,0.0872868071105491,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
335,110.0,1.0,0.0,0.0,0.08175617157358038,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
340,110.0,1.0,0.0,0.0,0.07656477846147114,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
345,110.0,1.0,0.0,0.0,0.07169289321867342,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
350,110.0,1.0,0.0,0.0,0.06712182438978767,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
355,110.0,1.0,0.0,0.0,0.0628338792882139,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
360,110.0,1.0,0.0,0.0,0.05881232032445348,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
365,110.0,1.0,0.0,0.0,0.05504132215683725,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
370,110.0,1.0,0.0,0.0,0.05150592979813397,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
375,110.0,1.0,0.0,0.0,0.048192017785771216,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
380,110.0,1.768593647274681,0.0,0.0,0.04508625050088505,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
385,110.0,5.023397326798502,0.0,0.0,0.0421760437017646,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
390,110.0,8.309570022303866,0.0,0.0,0.03944952732015522,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
395,110.0,11.625189330396443,0.0,0.0,0.03689550955406101,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
400,110.0,14.968444509233882,0.0,0.0,0.03450344227787362,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
405,110.0,18.33763059392009,0.0,0.0,0.03226338777964867,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
410,110.0,21.731142760017025,0.0,0.0,0.030165986825923606,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
415,110.0,25.147470931759926,0.0,0.0,0.02820242804646119,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
420,110.0,28.585194630608825,0.0,0.0,0.026364418624537794,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
425,110.0,32.042978058982555,0.0,0.0,0.024644156272727903,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
430,110.0,35.51956541338604,0.0,0.0,0.023034302469439993,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
435,110.0,39.013776420633846,0.0,0.0,0.021527956927614778,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
440,110.0,42.524502090481114,0.0,0.0,0.020118633263899104,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
445,110.0,46.05070067767788,0.0,0.0,0.01880023583416488,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
450,110.0,49.59139384625581,0.0,0.0,0.01756703769937042,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
455,110.0,53.14566302872128,0.0,0.0,0.016413659684384387,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
460,110.0,56.712645972759894,0.0,0.0,0.015335050491446695,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
465,110.0,60.2915334680417,0.0,0.0,0.014326467829364864,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
470,110.0,63.88156624574823,0.0,0.0,0.01338346051929079,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
475,110.0,67.48203204351337,0.0,0.0,0.012501851537936445,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
480,,71.10255052051215,0.0,0.0,0.010601070082692659,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
485,,74.6041293968222,0.0,0.0,0.25790735795619063,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
490,,77.78236451085904,,,0.5030580207478673,,,,,,,,
