,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,426.19791606756934,4.0,424.0467244166564,4.0
HBGI,0.0,0.0,0.0,0.0
BGRI,426.19791606756934,,424.0467244166564,
minutes_of_zero_temp_basal,,,0.0,0.0
minutes_of_zero_iob,,,0.0,
