,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475
95,0.0,-0.6037245565117679,-0.5160026007488367,-0.43961575883961856,-0.35826085781766714,-0.3089429826633774,-0.256913632385801,-0.20273956652092662,-0.1655547758163618,-0.12756193772217872,-0.0894629779558731,-0.08688858780356795,-0.06659854690740197,-0.04702771480835968,-0.04326025735310059,0.0,-0.032681321600752856,0.0,0.0,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.0,-0.5869487223257099,-0.5031037970931385,-0.4300021672906986,-0.35169260707169414,-0.3045217291450171,-0.25442363278160496,-0.20186071116027238,-0.1658778271534853,-0.1287648256349483,-0.09111566980155617,-0.0894629779558731,-0.0695108702428544,-0.04994891018055156,-0.04702771480835968,0.0,-0.03852392522006558,0.0,0.0,-0.017043792692898047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.0,-0.5691705061421288,-0.48912393527142406,-0.41925316424428516,-0.34400173383255783,-0.29893871601094046,-0.250782600472367,-0.19990428289983253,-0.16515876367658633,-0.129016087786044,-0.09197487545353467,-0.09111566980155617,-0.07157038236469832,-0.05213315268214075,-0.04994891018055156,0.0,-0.04326025735310059,0.0,0.0,-0.025578627810559685,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.0,-0.5506466128967027,-0.4743087551184413,-0.4076032793928528,-0.33540253139542653,-0.2924014737576739,-0.2461848249501859,-0.19704347179971693,-0.16355804964531795,-0.1284568161929005,-0.09215434841860282,-0.09197487545353467,-0.072892535841245,-0.053677786773523806,-0.05213315268214075,0.0,-0.04702771480835968,0.0,0.0,-0.032681321600752856,0.0,0.0,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.0,-0.5315997483900112,-0.4588721774139213,-0.3952572959320326,-0.3260826235142815,-0.28509215168611224,-0.2408012136827904,-0.19343093388943222,-0.16121738601794977,-0.12721181639080248,-0.09175486870921479,-0.09215434841860282,-0.07357990036282769,-0.05466940188093372,-0.053677786773523806,0.0,-0.04994891018055156,0.0,0.0,-0.03852392522006558,0.0,0.0,-0.017043792692898047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.0,-0.5122223797785672,-0.4429997903250058,-0.3823934811782683,-0.3162058367456284,-0.27717022998713947,-0.23478177197679884,-0.18920095360790734,-0.1582616731822628,-0.1253913002361835,-0.09086558313628745,-0.09175486870921479,-0.07372347873488239,-0.05518492527212071,-0.05466940188093372,0.0,-0.05213315268214075,0.0,0.0,-0.04326025735310059,0.0,0.0,-0.025578627810559685,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.0,-0.4926801137191408,-0.42685198314880246,-0.3691664919375057,-0.3059147849426136,-0.26877496123378286,-0.22825783645999698,-0.18447139226748455,-0.15480078022465182,-0.12309241247509295,-0.08956521445441679,-0.09086558313628745,-0.07340389496737176,-0.05529260905116179,-0.05518492527212071,0.0,-0.053677786773523806,0.0,0.0,-0.04702771480835968,0.0,0.0,-0.032681321600752856,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.0,-0.47311472922232944,-0.4105667614326176,-0.35570998595733627,-0.29533319355000476,-0.2600275672012211,-0.22134408572193998,-0.17934544293285493,-0.15093113912794198,-0.12040060684139542,-0.08792315176792354,-0.08956521445441679,-0.07269246650903005,-0.05505292122552885,-0.05529260905116179,0.0,-0.05466940188093372,0.0,0.0,-0.04994891018055156,0.0,0.0,-0.03852392522006558,0.0,0.0,0.0,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.0,-0.45364689878721265,-0.3942622743519397,-0.3421389678605138,-0.2845679887658692,-0.2510332145175038,-0.21414034945982952,-0.17391321021009531,-0.14673718058142748,-0.11739088598839942,-0.08600043345813946,-0.08792315176792354,-0.07165217156353332,-0.05451934988177254,-0.05505292122552885,0.0,-0.05518492527212071,0.0,0.0,-0.05213315268214075,0.0,0.0,-0.04326025735310059,0.0,0.0,0.0,-0.017043792692898047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.0,-0.4343786282256765,-0.37803908232267425,-0.32855189529328577,-0.27371117428841174,-0.2418827904509886,-0.2067332354850029,-0.16825313171843748,-0.1422926265355322,-0.11412891822999849,-0.08385063284885685,-0.08600043345813946,-0.07033852141433905,-0.05373912867265018,-0.05451934988177254,0.0,-0.05529260905116179,0.0,0.0,-0.053677786773523806,0.0,0.0,-0.04702771480835968,0.0,0.0,0.0,-0.025578627810559685,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
