,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475
250,0.07936699841962991,-0.14190111906472325,-0.12679221820351216,-0.11346867012773032,-0.09356694855997816,-0.07082694247775834,-0.0850284886157997,-0.09002591509188562,-0.08966570238272986,-0.07112940730146367,-0.06266018941184992,-0.052960872362095124,-0.0698996165763992,-0.051630242136954774,-0.038887804257745184,-0.02458617210762326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,0.07045928503612231,-0.1336847677334525,-0.1194956792123989,-0.10698093410921494,-0.08825341009934817,-0.06683353468569742,-0.08027053480812363,-0.0850284886157997,-0.08473027302765601,-0.06724927678704695,-0.05927450608455409,-0.05012815152947958,-0.06620109045261913,-0.048929731603480686,-0.03687874438353811,-0.02333268255464649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,0.06255132418576181,-0.12589875172578147,-0.11257664651238386,-0.10082447933546135,-0.08320739319605508,-0.06303815007096247,-0.07574467264378626,-0.08027053480812363,-0.08002681281487334,-0.0635477047707429,-0.056041063989206386,-0.04741960486764363,-0.06266018941184992,-0.04634076331683312,-0.034949808288200046,-0.022127246630123443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,0.05553090916811243,-0.11852522992306191,-0.10602000145328816,-0.09498654549482133,-0.07841903948313522,-0.05943385228289699,-0.07144323674709163,-0.07574467264378626,-0.0755487386429401,-0.06002010961115456,-0.05295642064228545,-0.04483285119136493,-0.05927450608455409,-0.04386213258829441,-0.03310054522630956,-0.020969884972920294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,0.04929842674286533,-0.11154656353954095,-0.0998107199352063,-0.08945437622621455,-0.07387842427374913,-0.05601359963081265,-0.06735836592061517,-0.07144323674709163,-0.07128910366474273,-0.05666155398220507,-0.05001675800929295,-0.042365136513828006,-0.056041063989206386,-0.041492154259188396,-0.031330094705924516,-0.019860327135785782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,0.0437654437092192,-0.10494539147042659,-0.09393394824382639,-0.08421529494533253,-0.06957562595372124,-0.05277030305267871,-0.06348207958158802,-0.06735836592061517,-0.06724069340902616,-0.053466827748557044,-0.047217961651838,-0.04001340640743667,-0.05295642064228545,-0.03922874479244465,-0.029637253042277045,-0.018798056823555065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,0.03885345212040647,-0.09870469268587456,-0.0883750665014098,-0.07925676883072441,-0.06550078495748046,-0.04969687568122971,-0.05980634345970515,-0.06348207958158802,-0.06339610910175608,-0.05043052005677051,-0.04455568979046465,-0.03777436932147005,-0.05001675800929295,-0.03706949444959973,-0.028020531994603193,-0.017782351825365916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,0.03449275532778984,-0.09280783723824726,-0.08311974120915977,-0.07456646236056841,-0.06164415353500807,-0.04678627496963017,-0.056323125772062,-0.05980634345970515,-0.05974783960619945,-0.04754708182631795,-0.042025433380640465,-0.03564455183237136,-0.047217961651838,-0.03501173060650542,-0.026478210321142726,-0.016812319196761738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,0.030621479049386835,-0.08723862728334097,-0.07815396820063114,-0.07013228164522545,-0.05799613739155163,-0.04403153823929351,-0.0530244449655779,-0.056323125772062,-0.05628832325619193,-0.0448108797046487,-0.039622568188597995,-0.03362034670451308,-0.04455568979046465,-0.03305257315628651,-0.02500837900464692,-0.015886926192685724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,0.027184693430854168,-0.08198132936614755,-0.07346410718596985,-0.06594241066928141,-0.0545473301685071,-0.04142581242253485,-0.049902410004531106,-0.0530244449655779,-0.05301000072664408,-0.0422162424421435,-0.03734239975387421,-0.03169805455087804,-0.042025433380640465,-0.031188982853326053,-0.023608980825918557,-0.01500502740278864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,0.02413363364124166,-0.07702069908683029,-0.06903690893991765,-0.06198534043816295,-0.05128854163166352,-0.03896237869179231,-0.04694925407887318,-0.049902410004531106,-0.04990535996760315,-0.03975750054498395,-0.03518020203512062,-0.029873919803099724,-0.039622568188597995,-0.029417803366448947,-0.022277844895232324,-0.014165388495551268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,0.02142500794465718,-0.07234199914080364,-0.06485953607312211,-0.058249891918054075,-0.04821082034079538,-0.036634672594045625,-0.04415736251736213,-0.04694925407887318,-0.046966974121913196,-0.037429019975704136,-0.03313125045415344,-0.028144161628095965,-0.03734239975387421,-0.027735797732018064,-0.021012716690320232,-0.013366706937139261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,0.019020383430557786,-0.06793101161783,-0.060919578223838755,-0.05472523356169745,-0.04530547149181707,-0.034436300243424256,-0.041519295606585516,-0.04415736251736213,-0.0441875332507049,-0.035225230591433565,-0.031190849979752855,-0.02650500036332204,-0.03518020203512062,-0.026139679827712037,-0.019811284094298998,-0.012607630014192628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,0.016885640685842418,-0.0637740453466229,-0.05720506241501866,-0.051400894126366836,-0.04256407054798572,-0.032361051065583624,-0.039027806942545595,-0.041519295606585516,-0.041559870604579885,-0.03314064993803001,-0.029354358826194193,-0.024952679983801573,-0.03313125045415344,-0.024626141424583636,-0.01867119987693755,-0.011886770456579487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,0.014990489671930618,-0.05985793898345548,-0.05370445923926681,-0.04826677141267055,-0.03997847320939307,-0.03040290753427577,-0.0366758578743287,-0.039027806942545595,-0.03907698410031557,-0.031169902953433137,-0.027617208281690786,-0.023483487060956598,-0.031190849979752855,-0.023191875317906785,-0.017590101017559867,-0.011202719926162175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
