,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475,t=480,t=485
0,0.0,0.049999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.049816412496873304,0.049999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.04936191135839602,0.049816412496873304,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.04867981461678111,0.04936191135839602,0.04151367708072776,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.04780831270742769,0.04867981461678111,0.04113492613199669,0.03736230937265498,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.04678100803489261,0.04780831270742769,0.04056651218065092,0.03702143351879702,0.03736230937265498,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.045627401172143256,0.04678100803489261,0.03984026058952308,0.03650986096258583,0.03702143351879702,0.03321094166458221,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.04437332877725367,0.045627401172143256,0.03898417336241051,0.03585623453057077,0.03650986096258583,0.03290794090559735,0.03321094166458221,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,0.04304135783910563,0.04437332877725367,0.03802283431011939,0.03508575602616946,0.03585623453057077,0.03245320974452074,0.03290794090559735,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,0.04165114043424854,0.04304135783910563,0.03697777398104473,0.03422055087910745,0.03508575602616946,0.031872208471618466,0.03245320974452074,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0,0.04021973278695457,0.04165114043424854,0.035867798199254695,0.03327999658294026,0.03422055087910745,0.03118733868992841,0.031872208471618466,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0,0.03876188207012968,0.04021973278695457,0.03470928369520712,0.03228101837932922,0.03327999658294026,0.030418267448095507,0.03118733868992841,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0,0.03729028406287313,0.03876188207012968,0.033516443989128814,0.031238355325686407,0.03228101837932922,0.029582219184835782,0.030418267448095507,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0,0.03581581448817548,0.03729028406287313,0.03230156839177473,0.030164799590215934,0.031238355325686407,0.028694238559403756,0.029582219184835782,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0,0.034347736588828046,0.03581581448817548,0.03107523671906094,0.029071411552597255,0.030164799590215934,0.027767426956165697,0.028694238559403756,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0,0.03289388725864744,0.034347736588828046,0.029846512073479565,0.027967713047154844,0.029071411552597255,0.02681315519130305,0.027767426956165697,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,0.031460843827376773,0.03289388725864744,0.02862311382402337,0.02686186086613161,0.027967713047154844,0.025841254713419786,0.02681315519130305,0.024296498586644982,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0,0.030054073399089998,0.031460843827376773,0.02741157271553953,0.02576080244162103,0.02686186086613161,0.024860189375248753,0.025841254713419786,0.02346151079239017,0.024296498586644982,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.0,0.02867806646375976,0.030054073399089998,0.02621736985614731,0.024670415443985582,0.02576080244162103,0.023877209658783653,0.024860189375248753,0.022611097874242314,0.02346151079239017,0.024296498586644982,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.0,0.02733645633817805,0.02867806646375976,0.025045061165908326,0.02359563287053258,0.024670415443985582,0.022898491059218696,0.023877209658783653,0.021752665703342656,0.022611097874242314,0.02346151079239017,0.024296498586644982,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.0,0.02603212584412092,0.02733645633817805,0.0238983887197998,0.022540555049317495,0.02359563287053258,0.02192925817243163,0.022898491059218696,0.020892558451435696,0.021752665703342656,0.022611097874242314,0.02346151079239017,0.024296498586644982,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.0,0.02476730249713841,0.02603212584412092,0.022780380281815046,0.02150854984781982,0.022540555049317495,0.02097389588491785,0.02192925817243163,0.020036179676816358,0.020892558451435696,0.021752665703342656,0.022611097874242314,0.02346151079239017,0.024296498586644982,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.0,0.023543643357367958,0.02476730249713841,0.021693438203434102,0.02050234225363354,0.02150854984781982,0.020036048932726664,0.02097389588491785,0.019188100900877674,0.020036179676816358,0.020892558451435696,0.021752665703342656,0.022611097874242314,0.02346151079239017,0.024296498586644982,0.025107458739478283,0.02588444178673131,0.02661598401708357,0.027288921353687354,0.027888182412666152,0.028396558526455642,0.02879444829239768,0.02905957395650943,0.029166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
