,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475,t=480,t=485
50,0.0,0.14747235355216678,0.15272084825891133,0.11477695423761503,0.0961422123507163,0.07984795205125071,0.08966359873354417,0.08764857329695079,0.08518967557936692,0.07404286703759404,0.06642188332916442,0.05833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0,0.14212690092380884,0.14747235355216678,0.11106970782466279,0.0932562753180622,0.07765332536019393,0.08745251891327459,0.08576518139730312,0.08366454723799847,0.07301972192517166,0.0658158818111947,0.05811914791301886,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0,0.13673104156386814,0.14212690092380884,0.1072526207652122,0.09024413760753852,0.07532237621843486,0.08504888015640287,0.08365023548226265,0.08186676406106207,0.07171246906114154,0.06490641948904148,0.05758889658479536,0.06227051562109164,0.05416666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0,0.13132465312331013,0.13673104156386814,0.10336501885367914,0.08714275437173492,0.07288949575993496,0.08249593585828578,0.0813511027582984,0.07984795205125071,0.07017151205233892,0.06374441694323693,0.056793117052911284,0.06170238919799503,0.05396778020494609,0.04583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0,0.12594170082570286,0.13132465312331013,0.09944075750099501,0.08398407781861432,0.0703845323771705,0.07983135249897637,0.07890915603836034,0.07765332536019393,0.0684411017582149,0.06237467737985682,0.055776364825332304,0.06084976827097638,0.0534754039715957,0.04566504478880054,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0,0.12061091994837396,0.12594170082570286,0.09550883863513461,0.08079561546955845,0.06783329362272693,0.07708782117499627,0.07636042412945566,0.07532237621843486,0.06655999316588052,0.060836534896191015,0.05457784270737471,0.059760390884284614,0.052736465834846195,0.04524841874519636,0.04151367708072776,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,0.1153564273670482,0.12061091994837396,0.09159396423687478,0.07760093139104689,0.06525799711002797,0.07429360730108188,0.07373617677608339,0.07288949575993496,0.06456203675865844,0.059164438369671564,0.05323196803416714,0.05847626004361576,0.05179233876638,0.04462316339871602,0.04113492613199669,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0,0.11019826912999668,0.1153564273670482,0.08771703268972653,0.07442009594246077,0.06267767535430709,0.07147304445384016,0.07106345046190442,0.0703845323771705,0.062476710651372815,0.05738847711880751,0.05176888357346262,0.05703425146517908,0.05067942537113366,0.043824286648475395,0.04056651218065092,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.0,0.10515291036711916,0.11019826912999668,0.0838955835396714,0.07127008906040279,0.06010853903044907,0.068646977769003,0.06836552078193407,0.06783329362272693,0.06032959918043187,0.05553485391233139,0.05021491747895657,0.055466660971567085,0.0494296846031552,0.04288259069865156,0.03984026058952308,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.0,0.10023367323998622,0.10515291036711916,0.08014419573090666,0.06816516162598302,0.05756430270263302,0.06583316179525375,0.06566232656165506,0.06525799711002797,0.05814282310519451,0.0536263103826061,0.048592997173289965,0.05380169729888204,0.04807110617535815,0.041825117741131325,0.03898417336241051,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.0,0.0954511280951101,0.10023367323998622,0.07647484390335936,0.06511715903136166,0.05505647669790934,0.06304661724574094,0.06297085041285143,0.06267767535430709,0.05593542609430969,0.05168250942683957,0.04692302158478034,0.052063925542810675,0.0466281376590311,0.0406755513791492,0.03802283431011939,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
