,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.0,0.0,0.0,0.0
HBGI,7.729311510542558,2.0,3.872692848815363,1.0
BGRI,7.729311510542558,,3.872692848815363,
minutes_of_zero_temp_basal,,,0.0,0.0
minutes_of_zero_iob,,,5.0,
