,pump_bgs,bg,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
175,140.68564012263266,131.915074595359,0.4,0.008333333333333337,0.821448593747852,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,139.1389541374914,130.09527286643643,0.4,0.008333333333333337,0.8202589908936709,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,137.64538551670657,128.32550010168018,0.3,0.0,0.8110728906990813,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,136.2063831498419,126.60642420779722,0.4,0.008333333333333337,0.8105421971555232,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,134.82280019809258,124.93656627671311,0.3,0.0,0.8019744883473914,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,133.49498405712356,123.3160195296582,0.3,0.0,0.7936907018455799,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,132.22285521751203,121.7474254369923,0.3,0.0,0.7856979211061874,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,131.0059762871607,120.23268223146964,0.3,0.0,0.7780004248607112,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,129.84361230131594,118.77304897033427,0.3,0.0,0.7706000817604052,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,128.73478332205872,117.36923737722284,0.3,0.0,0.7634967003226135,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
225,127.6783102187305,116.0214927960063,0.3,0.0,0.7566883387805022,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
230,126.6728544222816,114.72966544857098,0.3,0.0,0.7501715789883228,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
235,125.71695235870467,113.49327306290931,0.3,0.0,0.7439417681274788,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
240,124.80904518839844,112.31155582526881,0.3,0.0,0.737993231590354,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
245,123.94750440847915,111.18352450915883,0.3,0.0,0.7323194600854924,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
250,123.13065381280578,110.10800254353208,0.3,0.0,0.7269132737060863,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
255,122.35678824899904,109.08366270136958,0.3,0.0,0.7217669654308582,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
260,121.62418956228512,108.10905901723223,0.3,0.0,0.7168724262796499,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
265,120.93114007193915,107.18265447723901,0.3,0.0,0.7122212541229348,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
270,120.27593388685332,106.30284496660411,0.3,0.0,0.7078048479428052,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
275,119.65688633180199,105.46797990762319,0.3,0.0,0.7036144891607997,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
280,119.07234172485371,104.67637997421241,0.3,0.0,0.6996414114833426,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
285,118.52067971867677,103.92635222721005,0.3,0.0,0.6958768605669747,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
290,118.00032039383137,103.21620297714624,0.3,0.0,0.6923121446714042,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
295,117.50972827021289,102.54424864762119,0.3,0.0,0.6889386773473741,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
300,117.04741538330572,101.90882488239437,0.3,0.0,0.6857480130971715,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
305,116.61194355457158,101.30829411241861,0.3,0.0,0.6827318768471732,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
310,116.20192596988952,100.74105177502155,0.3,0.0,0.6798821879831082,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
315,115.81602816628086,100.20553135595163,0.3,0.0,0.6771910796188066,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
320,115.45296851500467,99.70020840580301,0.3,0.0,0.6746509136972484,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
325,115.11151827832711,99.22360366517454,0.3,0.0,0.672254292457957,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
330,114.7905013077096,98.7742854175955,0.3,0.0,0.669994066746534,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
335,114.48879344268411,98.35087117556702,0.3,0.0,0.6678633415897434,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
340,114.20532166217819,97.95202879285944,0.3,0.0,0.6658554794124979,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
345,113.9390630334077,97.57647708531483,0.3,0.0,0.6639641012308232,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
350,113.68904349757645,97.22298603269321,0.3,0.0,0.6621830861169471,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
355,113.45433652642717,96.89037662544824,0.3,0.0,0.660506569198635,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
360,113.2340616791013,96.5775204126132,0.3,0.0,0.6589289384243876,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
365,113.02738308471581,96.28333880011779,0.3,0.0,0.6574448302988173,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
370,112.83350787249998,96.00680214275778,0.3,0.0,0.6560491247680597,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
375,112.65168456819234,95.74692866761526,0.3,0.0,0.654736939413228,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
380,112.48120147263847,95.50278326191379,0.3,0.0,0.6535036230903778,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
385,112.32138503610253,95.27347615401612,0.3,0.0,0.6523447491380218,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
390,112.17159823968183,95.05816151248688,0.3,0.0,0.6512561082576909,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
395,112.0312389933487,94.85603598478198,0.3,0.0,0.6502337011591756,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
400,111.89973855851903,94.66633719416053,0.3,0.0,0.6492737310497767,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
405,111.77656000162654,94.48834221078764,0.3,0.0,0.6483725960359293,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
410,111.66119668394478,94.32136601067917,0.3,0.0,0.6475268814958507,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
415,111.55317079182893,94.16475993409848,0.3,0.0,0.6467333524732458,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
420,111.45203191061665,94.01791015321389,0.3,0.0,0.6459889461344829,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
425,111.35735564462792,93.88023615724761,0.3,0.0,0.6452907643249123,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
430,111.26874228501029,93.75118926195718,0.3,0.0,0.6446360662540656,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
435,111.1858155265862,93.63025114907798,0.3,0.0,0.6440222613342428,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
440,111.10822123435202,93.5169324402926,0.3,0.0,0.6434469021924035,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
445,111.03562625985063,93.41077130936853,0.3,0.0,0.6429076778712578,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
450,110.96771730727474,93.31133213529876,0.3,0.0,0.6424024072319322,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
455,110.9041998488573,93.21820419858557,0.3,0.0,0.6419290325675319,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
460,110.84479708885036,93.1310004222017,0.3,0.0,0.6414856134342523,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
465,110.78924897518681,93.04935615824562,0.3,0.0,0.641070320704397,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
470,110.7373112577508,92.9729280208626,0.3,0.0,0.6406814308436786,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
475,110.68875459204702,92.90139276562304,0.3,0.0,0.6403173204134743,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
480,,92.87983712032144,0.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
