,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.005757395914404317,1.0,0.37002121495863116,1.0
HBGI,1.3365110068734367,1.0,1.0832959584195103,1.0
BGRI,1.342268402787841,,1.4533171733781414,
minutes_of_zero_temp_basal,,,10.0,0.0
minutes_of_zero_iob,,,0.0,
