,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475,t=480,t=485
540,,,,,,,,,,,,,,,0.0006116353753322645,0.0006544898117883946,0.0007002858073961171,0.0007492191329470099,0.0008014979581361104,0.0008573435700982568,0.0009169911261532881,0.0006537936276675982,0.0010487068124591659,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0009132265021964958,0.0009760165785779318,0.0010429963848059831,0.0011144324196041833,0.0011906067533231646,0.0012718177849526668,0.0013583810174979671,0.0007253149247523627,0.0015489163799913275,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0010050908796054303,0.0010723250209285773,0.001143853555560348,0.0012199293773996756,0.0013008179123781272,0.0013867974570054287,0.0014781594858928049,0.0,0.0016782643512270878,0.001787658200469333,0.0,0.0,0.0021574034043724266,0.002295753349561558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006266018941184948,0.0,0.0,0.0,0.04666536510929298,0.04917234421524652,0.025887352403430652,0.027235460543250767,0.019086178990370684,0.020044673143105984,0.010515432259467161,0.011021342888892172,0.011538762297600536,0.01206607300626883,0.01260130274408916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,,,,,,,,,,,,,,,,0.0006116353753322645,0.0006544898117883946,0.0007002858073961171,0.0007492191329470099,0.0008014979581361104,0.0008573435700982568,0.0006113274174357475,0.0009806904415012863,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0009132265021964958,0.0009760165785779318,0.0010429963848059831,0.0011144324196041833,0.0011906067533231646,0.0012718177849526668,0.0006791905087489836,0.0014506298495047254,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0010050908796054303,0.0010723250209285773,0.001143853555560348,0.0012199293773996756,0.0013008179123781272,0.0013867974570054287,0.0,0.0015752089206171327,0.0016782643512270878,0.0,0.0,0.002026860502285066,0.0021574034043724266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059274506084554535,0.0,0.0,0.0,0.04425449326024644,0.04666536510929298,0.02458617210762326,0.025887352403430652,0.0181569736955004,0.019086178990370684,0.010022336571552992,0.010515432259467161,0.011021342888892172,0.011538762297600536,0.01206607300626883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,,,,,,,,,,,,,,,,,0.0006116353753322645,0.0006544898117883946,0.0007002858073961171,0.0007492191329470099,0.0008014979581361104,0.0005715623800657266,0.0009169911261532881,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0009132265021964958,0.0009760165785779318,0.0010429963848059831,0.0011144324196041833,0.0011906067533231646,0.0006359088924763334,0.0013583810174979671,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0010050908796054303,0.0010723250209285773,0.001143853555560348,0.0012199293773996756,0.0013008179123781272,0.0,0.0014781594858928049,0.0015752089206171327,0.0,0.0,0.001903736819494961,0.002026860502285066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005604106398920616,0.0,0.0,0.0,0.04193976994584059,0.04425449326024644,0.02333268255464649,0.02458617210762326,0.01725823493562051,0.0181569736955004,0.009543089495185342,0.010022336571552992,0.010515432259467161,0.011021342888892172,0.011538762297600536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,,,,,,,,,,,,,,,,,,0.0006116353753322645,0.0006544898117883946,0.0007002858073961171,0.0007492191329470099,0.0005343319720911843,0.0008573435700982568,0.0006113274174357475,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0009132265021964958,0.0009760165785779318,0.0010429963848059831,0.0011144324196041833,0.0005953033766615823,0.0012718177849526668,0.0006791905087489836,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0010050908796054303,0.0010723250209285773,0.001143853555560348,0.0012199293773996756,0.0,0.0013867974570054287,0.0014781594858928049,0.0,0.0,0.001787658200469333,0.001903736819494961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005295642064228501,0.0,0.0,0.0,0.03972065427157201,0.04193976994584059,0.02212724663012322,0.02333268255464649,0.01639078140508221,0.01725823493562051,0.0090784868477502,0.009543089495185342,0.010022336571552992,0.010515432259467161,0.011021342888892172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,,,,,,,,,,,,,,,,,,,0.0006116353753322645,0.0006544898117883946,0.0007002858073961171,0.0004994794219645993,0.0008014979581361104,0.0005715623800657266,0.0006113274174357475,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0009132265021964958,0.0009760165785779318,0.0010429963848059831,0.0005572162098020916,0.0011906067533231646,0.0006359088924763334,0.0006791905087489836,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0010050908796054303,0.0010723250209285773,0.001143853555560348,0.0,0.0013008179123781272,0.0013867974570054287,0.0,0.0,0.0016782643512270878,0.001787658200469333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005001675800929473,0.0,0.0,0.0,0.037596113647109686,0.03972065427157201,0.020969884972920294,0.02212724663012322,0.015555121703097696,0.01639078140508221,0.008629117467810254,0.0090784868477502,0.009543089495185342,0.010022336571552992,0.010515432259467161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,,,,,,,,,,,,,,,,,,,,0.0006116353753322645,0.0006544898117883946,0.00046685720493067073,0.0007492191329470099,0.0005343319720911843,0.0005715623800657266,0.0006113274174357475,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0009132265021964958,0.0009760165785779318,0.0005214981924029916,0.0011144324196041833,0.0005953033766615823,0.0006359088924763334,0.0006791905087489836,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0010050908796054303,0.0010723250209285773,0.0,0.0012199293773996756,0.0013008179123781272,0.0,0.0,0.0015752089206171327,0.0016782643512270878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004721796165183756,0.0,0.0,0.0,0.03556470365073228,0.037596113647109686,0.019860327135786005,0.020969884972920294,0.014751497753415443,0.015555121703097696,0.008195390702541105,0.008629117467810254,0.0090784868477502,0.009543089495185342,0.010022336571552992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,,,,,,,,,,,,,,,,,,,,,0.0006116353753322645,0.00043632654119218905,0.0007002858073961171,0.0004994794219645993,0.0005343319720911843,0.0005715623800657266,0.0006113274174357475,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0009132265021964958,0.0004880082892889659,0.0010429963848059831,0.0005572162098020916,0.0005953033766615823,0.0006359088924763334,0.0006791905087489836,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0010050908796054303,0.0,0.001143853555560348,0.0012199293773996756,0.0,0.0,0.0014781594858928049,0.0015752089206171327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004455568979046531,0.0,0.0,0.0,0.033624638393523476,0.03556470365073228,0.018798056823554843,0.019860327135786005,0.013979923315279974,0.014751497753415443,0.007777560851548848,0.008195390702541105,0.008629117467810254,0.0090784868477502,0.009543089495185342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,,,,,,,,,,,,,,,,,,,,,,0.0004077569168883244,0.0006544898117883946,0.00046685720493067073,0.0004994794219645993,0.0005343319720911843,0.0005715623800657266,0.0006113274174357475,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0008543744917055562,0.0004566132510982479,0.0009760165785779318,0.0005214981924029916,0.0005572162098020916,0.0005953033766615823,0.0006359088924763334,0.0006791905087489836,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.000941910406837887,0.0,0.0010723250209285773,0.001143853555560348,0.0,0.0,0.0013867974570054287,0.0014781594858928049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004202543338064135,0.0,0.0,0.0,0.03177385238537145,0.033624638393523476,0.01778235182536614,0.018798056823554843,0.013240218090523781,0.013979923315279974,0.007375748876707722,0.007777560851548848,0.008195390702541105,0.008629117467810254,0.0090784868477502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,,,,,,,,,,,,,,,,,,,,,,,0.0006116353753322645,0.00043632654119218905,0.00046685720493067073,0.0004994794219645993,0.0005343319720911843,0.0005715623800657266,0.0006113274174357475,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.0007992230026063751,0.0004271872458527781,0.0009132265021964958,0.0004880082892889659,0.0005214981924029916,0.0005572162098020916,0.0005953033766615823,0.0006359088924763334,0.0006791905087489836,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0008825546656049399,0.0,0.0010050908796054303,0.0010723250209285773,0.0,0.0,0.0013008179123781272,0.0013867974570054287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003962256818859755,0.0,0.0,0.0,0.030010054805576836,0.03177385238537145,0.016812319196761738,0.01778235182536614,0.012532037882369895,0.013240218090523781,0.006989961657639987,0.007375748876707722,0.007777560851548848,0.008195390702541105,0.008629117467810254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,,,,,,,,,,,,,,,,,,,,,,,,0.0004077569168883244,0.00043632654119218905,0.00046685720493067073,0.0004994794219645993,0.0005343319720911843,0.0005715623800657266,0.0006113274174357475,0.0006537936276675982,0.0006991378749725552,0.0007475479171463739,0.00039961150130318757,0.0008543744917055562,0.0004566132510982479,0.0004880082892889659,0.0005214981924029916,0.0005572162098020916,0.0005953033766615823,0.0006359088924763334,0.0006791905087489836,0.0007253149247523627,0.0007744581899956637,0.0008268061117437941,0.0,0.000941910406837887,0.0010050908796054303,0.0,0.0,0.0012199293773996756,0.0013008179123781272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037342399753874655,0.0,0.0,0.0,0.028330776991102535,0.030010054805576836,0.015886926192685724,0.016812319196761738,0.011854901216910907,0.012532037882369895,0.0066201090452618905,0.006989961657639987,0.007375748876707722,0.007777560851548848,0.008195390702541105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
