,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.017774630280357872,1.0,389.3784006023814,4.0
HBGI,0.0,0.0,0.0,0.0
BGRI,0.017774630280357872,,389.3784006023814,
minutes_of_zero_temp_basal,,,435.0,3.0
minutes_of_zero_iob,,,5.0,
