,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.017774630280357872,1.0,367.7813236964567,4.0
HBGI,0.0,0.0,0.0,0.0
BGRI,0.017774630280357872,,367.7813236964567,
minutes_of_zero_temp_basal,,,0.0,0.0
minutes_of_zero_iob,,,0.0,
