,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475
90,1.1471226585503904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.05176888357346262,0.045627401172143256,0.04288259069865156,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1.0934582535271222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.05021491747895657,0.04437332877725367,0.041825117741131325,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1.041285033764837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.048592997173289965,0.04304135783910563,0.0406755513791492,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.9906920998855366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.04692302158478034,0.04165114043424854,0.03945457801918017,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.9417457342947184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.04522219574848463,0.04021973278695457,0.03818021206472783,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.8944924233267177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.04350533140668531,0.03876188207012968,0.036868088388041696,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.8489615451241788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.04178511690287139,0.03729028406287313,0.03553172523095221,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.024999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.8051677572380329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.040072359353632715,0.03581581448817548,0.034182760390967036,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.024908206248436652,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.7631131146404928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.03837620180175535,0.034347736588828046,0.03283116328082753,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.02468095567919801,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.7227889458594075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.03670431779860624,0.03289388725864744,0.031485425206425714,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.024339907308390554,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.6841775122393476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.035063085632271666,0.031460843827376773,0.03015272998709349,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.023904156353713846,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0.6472534728870261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.03345774420771973,0.030054073399089998,0.02883910684176205,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.023390504017446304,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.6119851756425709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.03189253239454107,0.02867806646375976,0.02754956728249917,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.022813700586071628,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.5783357924122761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010612019314052227,0.011181155291583969,0.011771821678683979,0.012383651248569204,0.03037081348480775,0.02733645633817805,0.02628822759177979,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.022186664388626834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.5462643153833064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010064596965475403,0.010612019314052227,0.011181155291583969,0.011771821678683979,0.02889518624666149,0.02603212584412092,0.025058418309996555,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.021520678919552814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.5157264289987133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009538913933006148,0.010064596965475403,0.010612019314052227,0.011181155291583969,0.0274675839169293,0.02476730249713841,0.023862782023777524,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.02082557021712427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.4866752710859126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009034861823242578,0.009538913933006148,0.010064596965475403,0.010612019314052227,0.026089362347029275,0.023543643357367958,0.022703360622376892,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.020109866393477286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0.45906209518892016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008552218902991827,0.009034861823242578,0.009538913933006148,0.010064596965475403,0.02476137839945522,0.022362310583167937,0.02158167307758731,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.01938094103506484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.43283684494078867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00809066841108781,0.008552218902991827,0.009034861823242578,0.009538913933006148,0.0234840595861093,0.021224038628104454,0.020498784701237293,0.011771821678683979,0.012383651248569204,0.01301606292206046,0.013668228169089025,0.01433903323187988,0.015027036699544999,0.015730421913688387,0.01644694362932372,0.017173868294414023,0.01790790724408774,0.018645142031436565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
