,pump_bgs,bg,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
190,15.032352185619487,76.72701654448467,0.3,0.0,0.5071794794001068,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,11.971178436036553,76.49570894157009,0.3,0.0,0.508202106113105,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,9.054536124204674,76.36213291597193,0.3,0.0,0.5098314577543385,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,6.278562738708757,76.31276650074012,0.3,0.0,0.5119668615311733,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,3.6390956623281454,76.33557327791326,0.3,0.0,0.514519698503669,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,1.1317461407424219,76.41985594291052,0.0,-0.024999999999999998,0.4924121282442471,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,-1.2480369339296544,76.56989239639425,0.3,0.0,0.49566773378375667,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
225,-3.5049122294809365,76.78382640269378,0.3,0.0,0.499270562825086,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
230,-5.643599105573969,77.05097942513373,0.3,0.0,0.5031470054987416,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
235,-7.668837724122056,77.36193428847098,0.3,0.0,0.5072328429645572,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
240,-9.585355295563687,77.70840482373063,0.3,0.0,0.5114722249134332,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
245,-11.397837712009334,78.08311801940195,0.3,0.0,0.5158167501537803,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
250,-13.110905901775709,78.4797075391701,0.3,0.0,0.5202246403436734,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
255,-14.729096314425306,78.89261756589896,0.0,-0.024999999999999998,0.4996599978610543,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
260,-16.256845012038895,79.33078508552424,0.3,0.0,0.5041839334015971,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
265,-17.698474901898948,79.79657295430634,0.3,0.0,0.5088140439700507,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
270,-19.058185698813475,80.28312064472554,0.3,0.0,0.5135066857969486,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
275,-20.34004625262537,80.78446358655546,0.3,0.0,0.5182243803536818,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
280,-21.547988918642318,81.29543550697096,0.3,0.0,0.5229351150350665,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
285,-22.685805686323988,81.81158052530917,0.3,0.0,0.5276117158876358,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
290,-23.757145815064177,82.32907407827946,0.0,-0.024999999999999998,0.5072312853456261,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
295,-24.765514755732,82.85842089852248,0.3,0.0,0.511866492353383,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
300,-25.714274163187582,83.40340249255175,0.3,0.0,0.5165451971648876,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
305,-26.606642828600513,83.95844110952244,0.3,0.0,0.5212328568278658,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
310,-27.445698381395204,84.51873120734065,0.3,0.0,0.5259000508652358,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
315,-28.23437962929836,85.08015290402881,0.3,0.0,0.5305218899393215,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
320,-28.975489421522667,85.63919424837972,0.3,0.0,0.5350774859810933,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
325,-29.67169793481449,86.19288145874002,0.3,0.0,0.5395494777483938,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
330,-30.325546295113355,86.73871635804508,0.3,0.0,0.5439236063495313,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
335,-30.939450459109594,87.27462030530562,0.3,0.0,0.5481883357880006,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
340,-31.51570529019145,87.79888398927417,0.3,0.0,0.5523345140552629,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
345,-32.05648877229643,88.31012250957305,0.0,-0.024999999999999998,0.5313550707258777,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
350,-32.56386631315053,88.82100428741302,0.3,0.0,0.5353365411484123,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
