,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
165,110.0,27.510767923789892,162.51076792378996,0.45,0.012500000000000002,0.8469713854153812,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
170,110.0,25.20090584378231,160.20090584378238,0.3,0.0,0.8376557457705711,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
175,110.0,22.970147720513083,157.97014772051315,0.3,0.0,0.8285223011386379,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,110.0,20.82000371828828,155.82000371828835,0.3,0.0,0.8195984683522325,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,110.0,18.75127478291512,153.75127478291517,0.45,0.012500000000000002,0.8234063002441091,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,110.0,16.75726958568339,151.75726958568345,0.3,0.0,0.8149172604351939,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,110.0,14.834388766567345,149.8343887665674,0.3,0.0,0.8066227846807443,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,110.0,12.983493828825843,147.98349382882589,0.3,0.0,0.7985434104403145,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,110.0,11.204885944713116,146.20488594471317,0.3,0.0,0.7906953091330957,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,110.0,9.498388114586463,144.4983881145865,0.3,0.0,0.7830908434947792,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,110.0,7.863417879341963,142.863417879342,0.3,0.0,0.7757390642330536,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,110.0,6.299051566132627,141.29905156613265,0.3,0.0,0.7686461521023268,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
