,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.017774630280357872,1.0,0.001055440584029952,1.0
HBGI,0.0,0.0,5.925404415352394,2.0
BGRI,0.017774630280357872,,5.926459855936423,
minutes_of_zero_temp_basal,,,75.0,1.0
minutes_of_zero_iob,,,70.0,
