,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
170,7.850580798299021,9.01016225332358,144.0,0.3,0.0,0.7547174551675128,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
175,5.986691425252019,7.184076788508846,142.0,0.3,0.0,0.7482818282586093,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,4.216487033503142,5.450070615778776,140.0,0.3,0.0,0.7421322476688356,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,2.536533889568574,3.804733758737009,138.0,0.3,0.0,0.7362626934162549,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,0.9433721321996984,2.2446360300348096,136.0,0.3,0.0,0.7306663700642031,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,-0.5664595858505521,1.0,135.0,0.3,0.0,0.7253358636287147,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,-1.9964031396271196,1.0,134.0,0.3,0.0,0.7202632786794821,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,-3.349863230923077,1.0,133.0,0.3,0.0,0.7154403577809457,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,-4.6301925623494355,1.0,132.0,0.3,0.0,0.7108585852042528,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,-5.840679544516277,1.0,131.0,0.3,0.0,0.7065092766457345,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,-6.984538230389617,1.0,130.0,0.3,0.0,0.7023836565112983,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
225,-8.064900203390366,1.0,129.0,0.3,0.0,0.6984729241669557,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
230,-9.084808175070066,1.0,128.0,0.3,0.0,0.6947683104119824,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
235,-10.047211074544109,1.0,127.0,0.3,0.0,0.6912611253015039,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
240,-10.954960435565951,1.0,126.0,0.3,0.0,0.6879427983282699,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
245,-11.81080790843967,1.0,125.0,0.3,0.0,0.684804911867854,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
250,-12.617403743123361,1.0,124.0,0.3,0.0,0.6818392286963683,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
255,-13.377296107081932,1.0,123.0,0.3,0.0,0.6790377143040521,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
260,-14.092931116891648,1.0,122.0,0.3,0.0,0.6763925546508848,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
265,-14.766653476454309,1.0,121.0,0.3,0.0,0.6738961699408458,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
270,-15.400707627100104,1.0,120.0,0.3,0.0,0.6715412249288994,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
275,-15.997239325984651,1.0,119.0,0.3,0.0,0.6693206362185123,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
280,-16.558297579146455,1.0,118.0,0.3,0.0,0.6672275769569456,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
285,-17.085836864500706,1.0,117.0,0.3,0.0,0.6652554792901276,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
290,-17.58171958800601,1.0,117.0,0.3,0.0,0.6633980348981174,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
295,-18.047718723350442,1.0,117.0,0.3,0.0,0.6616491938955672,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
300,-18.485520591844022,1.0,117.0,0.3,0.0,0.6600031623487695,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
305,-18.896727744854957,1.0,117.0,0.3,0.0,0.6584543986314609,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
310,-19.28286191615632,1.0,117.0,0.3,0.0,0.6569976088152234,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
315,-19.64536701602134,1.0,117.0,0.3,0.0,0.6556277412667566,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
320,-19.985612142874658,1.0,117.0,0.3,0.0,0.6543399806032358,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
325,-20.30489459182749,1.0,117.0,0.3,0.0,0.6531297411381521,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
330,-20.604442842540692,1.0,117.0,0.3,0.0,0.6519926599332514,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
335,-20.885419511614373,1.0,117.0,0.3,0.0,0.6509245895572154,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
340,-21.148924257132705,1.0,117.0,0.3,0.0,0.6499215906384107,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
345,-21.395996625133762,1.0,117.0,0.3,0.0,0.6489799242871762,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
350,-21.627618829654324,1.0,117.0,0.3,0.0,0.6480960444525938,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
355,-21.8447184596491,1.0,117.0,0.3,0.0,0.6472665902693479,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
360,-22.048171107526088,1.0,117.0,0.3,0.0,0.6464883784420014,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
365,-22.238802915296787,1.0,117.0,0.3,0.0,0.6457583957067116,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
370,-22.417393035433463,1.0,117.0,0.3,0.0,0.6450737914039343,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
375,-22.584676004472556,1.0,117.0,0.3,0.0,0.6444318701899822,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
380,-22.741344028219032,1.0,117.0,0.3,0.0,0.6438300849102908,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
385,-22.888049178108815,1.0,117.0,0.3,0.0,0.6432660296528573,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
