,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.0020127952709380506,1.0,0.002142051732824539,1.0
HBGI,11.202436095516433,3.0,5.800963421099735,2.0
BGRI,11.20444889078737,,5.803105472832559,
minutes_of_zero_temp_basal,,,0.0,0.0
minutes_of_zero_iob,,,0.0,
