,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,381.9762466215008,4.0,19.15288552935428,4.0
HBGI,0.03325593619842212,1.0,0.061047567801287284,1.0
BGRI,382.00950255769925,,19.213933097155568,
minutes_of_zero_temp_basal,,,265.0,2.0
minutes_of_zero_iob,,,0.0,
