,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.0009257619937686393,1.0,0.0015369289367768676,1.0
HBGI,20.814905165652572,4.0,2.2896571950246933,1.0
BGRI,20.815830927646342,,2.2911941239614704,
minutes_of_zero_temp_basal,,,0.0,0.0
minutes_of_zero_iob,,,0.0,
