,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475,t=480,t=485
0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,-0.08720406398517838,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,-0.2158880407767086,-0.08720406398517838,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,-0.3239959522670893,-0.2158880407767086,-0.059665938516174674,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,-0.4139634069428697,-0.3239959522670893,-0.1477128700051164,-0.04589687578167282,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,16.83517121901333,-0.4879697194541637,-0.4139634069428697,-0.2216814410248506,-0.11362528461932031,-0.03442265683625462,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,14.945684619190025,-0.547963259805941,-0.4879697194541637,-0.2832381205398579,-0.17052418540373118,-0.08521896346449025,-0.03901234441442189,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,13.268263555527096,-0.5956843875725557,-0.547963259805941,-0.3338740185739014,-0.21787547733835227,-0.12789313905279837,-0.09658149192642224,-0.036717500625338254,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11.779106963951818,-0.6326861956203191,-0.5956843875725557,-0.3749222303935382,-0.25682616813377024,-0.16340660800376422,-0.1449455575931715,-0.09090022769545626,-0.03442265683625462,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10.457085080317142,-0.6603532673071157,-0.6326861956203191,-0.4075735283391171,-0.28840171568733697,-0.1926196261003278,-0.18519415573759945,-0.136419348322985,-0.08521896346449025,-0.0275381254690037,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,9.283439628457629,-0.6799186324646342,-0.6603532673071157,-0.43289055489811323,-0.31351809872239755,-0.21630128676550286,-0.2183022429137046,-0.17430038187068186,-0.12789313905279837,-0.06817517077159219,-0.02294843789083641,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8.241517657481225,-0.692479090491827,-0.6799186324646342,-0.4518206565785525,-0.33299273453701006,-0.2351385740417984,-0.2451414583342365,-0.2054609345070162,-0.16340660800376422,-0.10231451124223874,-0.056812642309660155,-0.018358750312669127,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,7.316535251693125,-0.6990090534468614,-0.692479090491827,-0.46520748537054013,-0.3475543512142716,-0.2497445509027576,-0.26649038391403823,-0.23072137254986969,-0.1926196261003278,-0.13072528640301143,-0.08526209270186559,-0.04545011384772813,-0.020653594101752774,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6.495367760411767,-0.7003730479813823,-0.6990090534468614,-0.47380148296809255,-0.3578519118234924,-0.26066576341070413,-0.28304382435645836,-0.2508144789779183,-0.21630128676550286,-0.1540957008802623,-0.10893773866917614,-0.0682096741614925,-0.05113137807869414,-0.01606390652358549,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5.766363571231835,-0.6973370021900314,-0.7003730479813823,-0.47826935235837986,-0.3644626792062242,-0.26838893386761864,-0.29542119853213067,-0.26639418762960787,-0.2351385740417984,-0.17304102941240235,-0.12841308406688512,-0.08715019093534093,-0.07673588343167909,-0.039768849616762116,-0.011474218945418209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,5.119178784346715,-0.6905784318357862,-0.6973370021900314,-0.47920261177673584,-0.3678995018141382,-0.27334700940466905,-0.3041741250499681,-0.2780434809714176,-0.2497445509027576,-0.18811085923343873,-0.14420085784366848,-0.1027304672535081,-0.09804396480225858,-0.059683464891305923,-0.028406321154830085,-0.009179375156334563,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
