,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,426.19791606756934,4.0,4.446756149359901,2.0
HBGI,0.0,0.0,0.028260129663897838,1.0
BGRI,426.19791606756934,,4.475016279023799,
minutes_of_zero_temp_basal,,,205.0,2.0
minutes_of_zero_iob,,,0.0,
