,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,426.19791606756934,4.0,4.538441843161136,2.0
HBGI,0.0,0.0,0.025443037190138813,1.0
BGRI,426.19791606756934,,4.563884880351275,
minutes_of_zero_temp_basal,,,205.0,2.0
minutes_of_zero_iob,,,0.0,
