,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.0,0.0,0.0,0.0
HBGI,5.082994369560928,2.0,3.629499219962855,1.0
BGRI,5.082994369560928,,3.629499219962855,
minutes_of_zero_temp_basal,,,0.0,0.0
minutes_of_zero_iob,,,0.0,
