,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,459.1167434849781,4.0,7.685610504566657,3.0
HBGI,0.0,0.0,0.03332034133885223,1.0
BGRI,459.1167434849781,,7.7189308459055095,
minutes_of_zero_temp_basal,,,235.0,2.0
minutes_of_zero_iob,,,0.0,
