,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475,t=480,t=485
75,0.0,-0.10903869976354508,-0.11010584245105748,-0.07372347873488239,-0.05518492527212071,-0.05466940188093372,-0.035785191182349185,-0.0347554351214272,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,-0.10747825734530014,-0.10903869976354508,-0.07340389496737176,-0.05529260905116179,-0.05518492527212071,-0.0364462679206225,-0.035785191182349185,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0,-0.10550778212150824,-0.10747825734530014,-0.07269246650903005,-0.05505292122552885,-0.05529260905116179,-0.036789950181413844,-0.0364462679206225,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.0,-0.10320052014976766,-0.10550778212150824,-0.07165217156353332,-0.05451934988177254,-0.05505292122552885,-0.03686173936744119,-0.036789950181413844,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.0,-0.10062075941862814,-0.10320052014976766,-0.07033852141433905,-0.05373912867265018,-0.05451934988177254,-0.03670194748368594,-0.03686173936744119,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.0,-0.09782478705428499,-0.10062075941862814,-0.06880034676651159,-0.05275389106075401,-0.05373912867265018,-0.03634623325451508,-0.03670194748368594,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.0,-0.09486175102368843,-0.09782478705428499,-0.06708050627908535,-0.05160026007488394,-0.05275389106075401,-0.035826085781766714,-0.03634623325451508,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.0,-0.09177443548278386,-0.09486175102368843,-0.06521652470285622,-0.05031037970931396,-0.05160026007488394,-0.03516926070716947,-0.035826085781766714,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.0,-0.08859995806500165,-0.09177443548278386,-0.06324116734912577,-0.048912393527142495,-0.05031037970931396,-0.034400173383255905,-0.03516926070716947,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.0,-0.08537039662976031,-0.08859995806500165,-0.06118295698852272,-0.04743087551184422,-0.048912393527142495,-0.033540253139542675,-0.034400173383255905,-0.017584630353584763,-0.01791304289088333,-0.018173116627257513,-0.01835097374184294,-0.018430869683720597,-0.018394975090706922,-0.01822313396031125,-0.01789259559117458,-0.0173777175607136,-0.016649636726850506,-0.01567590493611988,-0.014420085784366855,-0.012841308406688519,-0.010893773866917617,-0.008526209270186557,-0.0056812642309660155,-0.0022948437890836404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
