,pumpValue,pumpRiskScore,loopValue,loopRiskScore
LBGI,0.0009257619937686393,1.0,0.002189871057119797,1.0
HBGI,20.814905165652572,4.0,2.1776035450828535,1.0
BGRI,20.815830927646342,,2.1797934161399732,
minutes_of_zero_temp_basal,,,0.0,0.0
minutes_of_zero_iob,,,5.0,
